sentence,tokens,tags
آل انڈیا مسلم پرسنل لا بورڈ کے اےک پریس نوٹ کے بموجب بورڈ کی مجلس عاملہ کا اےک اجلاس حیدرآباد مےں 23 اور 24 اپریل کو منعقد ہو رہا ہے ۔,"['آل', 'انڈیا', 'مسلم', 'پرسنل', 'لا', 'بورڈ', 'کے', 'اےک', 'پریس', 'نوٹ', 'کے', 'بموجب', 'بورڈ', 'کی', 'مجلس', 'عاملہ', 'کا', 'اےک', 'اجلاس', 'حیدرآباد', 'مےں', '23', 'اور', '24', 'اپریل', 'کو', 'منعقد', 'ہو', 'رہا', 'ہے', '۔']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'NUM', 'NOUN', 'NOUN', 'ADP', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PROPN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'ADP', 'ADJ', 'VERB', 'AUX', 'AUX', 'PUNCT']"
اس اجلاس کی صدارت مولانا سید رابع حسنی ندوی صدر بورڈ کریں_گے ۔,"['اس', 'اجلاس', 'کی', 'صدارت', 'مولانا', 'سید', 'رابع', 'حسنی', 'ندوی', 'صدر', 'بورڈ', 'کریں_گے', '۔']","['DET', 'NOUN', 'ADP', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
اجلاس مےں بابری مسجد کے سلسلہ مےں الہ_آباد ہائی کورٹ کے فیصلہ کے خلاف سپریم کورٹ مےں اپیل داخل کرنے کا جائزہ لیا جائے_گا ۔,"['اجلاس', 'مےں', 'بابری', 'مسجد', 'کے', 'سلسلہ', 'مےں', 'الہ_آباد', 'ہائی', 'کورٹ', 'کے', 'فیصلہ', 'کے', 'خلاف', 'سپریم', 'کورٹ', 'مےں', 'اپیل', 'داخل', 'کرنے', 'کا', 'جائزہ', 'لیا', 'جائے_گا', '۔']","['NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'ADP', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'ADP', 'ADP', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'ADP', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
"آل انڈیا مسلم پرسنل لا بورڈ نے اب تک چار اپیلیں اترپردیش سنی وقف بورڈ , محمد ہاشم انصاری اور مصباح الدین کی جانب سے داخل کروائی ہےں اور مزید چار اپیلیں داخل کروانا پیش نظر ہے ۔","['آل', 'انڈیا', 'مسلم', 'پرسنل', 'لا', 'بورڈ', 'نے', 'اب', 'تک', 'چار', 'اپیلیں', 'اترپردیش', 'سنی', 'وقف', 'بورڈ', ',', 'محمد', 'ہاشم', 'انصاری', 'اور', 'مصباح', 'الدین', 'کی', 'جانب', 'سے', 'داخل', 'کروائی', 'ہےں', 'اور', 'مزید', 'چار', 'اپیلیں', 'داخل', 'کروانا', 'پیش', 'نظر', 'ہے', '۔']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PRON', 'ADP', 'NUM', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'ADP', 'ADV', 'ADP', 'NOUN', 'VERB', 'AUX', 'CCONJ', 'ADJ', 'NUM', 'NOUN', 'NOUN', 'VERB', 'ADP', 'NOUN', 'VERB', 'PUNCT']"
اس کے علاوہ مزید چار اپیلیں زیر سماعت ہےں ۔,"['اس', 'کے', 'علاوہ', 'مزید', 'چار', 'اپیلیں', 'زیر', 'سماعت', 'ہےں', '۔']","['PRON', 'ADP', 'ADP', 'ADJ', 'NUM', 'NOUN', 'ADP', 'NOUN', 'AUX', 'PUNCT']"
اس اجلاس مےں اطفال کے حق تعلیم کے قانون کا جائزہ بھی لیا جائے_گا ۔,"['اس', 'اجلاس', 'مےں', 'اطفال', 'کے', 'حق', 'تعلیم', 'کے', 'قانون', 'کا', 'جائزہ', 'بھی', 'لیا', 'جائے_گا', '۔']","['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PART', 'VERB', 'AUX', 'PUNCT']"
اس قانون کا نفاذ یکم اپریل 2010 ء سے عمل مےں آ چکا ہے ۔,"['اس', 'قانون', 'کا', 'نفاذ', 'یکم', 'اپریل', '2010', 'ء', 'سے', 'عمل', 'مےں', 'آ', 'چکا', 'ہے', '۔']","['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PROPN', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'VERB', 'AUX', 'PUNCT']"
"اس قانون کے مقاصد بہت اچھے ہےں , لیکن قانون اس طرح مدون کیا گیا ہے کہ اس سے دینی مدارس پر سخت ضرب پڑتی ہے ۔","['اس', 'قانون', 'کے', 'مقاصد', 'بہت', 'اچھے', 'ہےں', ',', 'لیکن', 'قانون', 'اس', 'طرح', 'مدون', 'کیا', 'گیا', 'ہے', 'کہ', 'اس', 'سے', 'دینی', 'مدارس', 'پر', 'سخت', 'ضرب', 'پڑتی', 'ہے', '۔']","['DET', 'NOUN', 'ADP', 'NOUN', 'ADV', 'ADJ', 'AUX', 'PUNCT', 'CCONJ', 'NOUN', 'DET', 'NOUN', 'ADJ', 'VERB', 'AUX', 'AUX', 'SCONJ', 'PRON', 'ADP', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
نیز اقلیتی تعلیمی اداروں کے حقوق اور ان کی آزادی متاثر ہوتی ہے ۔,"['نیز', 'اقلیتی', 'تعلیمی', 'اداروں', 'کے', 'حقوق', 'اور', 'ان', 'کی', 'آزادی', 'متاثر', 'ہوتی', 'ہے', '۔']","['CCONJ', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'PRON', 'ADP', 'NOUN', 'ADJ', 'VERB', 'AUX', 'PUNCT']"
اس مسودہ قانون مےں ترمیم کے وعدے کیے جانے کے باوجود متعلقہ وزیر نے راجیہ سبھا مےں پیش کرنے سے پہلے اس مےں ترمیم نہیں کی ۔,"['اس', 'مسودہ', 'قانون', 'مےں', 'ترمیم', 'کے', 'وعدے', 'کیے', 'جانے', 'کے', 'باوجود', 'متعلقہ', 'وزیر', 'نے', 'راجیہ', 'سبھا', 'مےں', 'پیش', 'کرنے', 'سے', 'پہلے', 'اس', 'مےں', 'ترمیم', 'نہیں', 'کی', '۔']","['DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'ADP', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'ADV', 'VERB', 'ADP', 'ADV', 'PRON', 'ADP', 'NOUN', 'PART', 'VERB', 'PUNCT']"
چنانچہ آل انڈیا مسلم پرسنل لا بورڈ نے راجیہ سبھا کے مسلم ارکان کے تعاون سے اس کو مسلک کمیٹی کے سپرد کروایا ہے ۔,"['چنانچہ', 'آل', 'انڈیا', 'مسلم', 'پرسنل', 'لا', 'بورڈ', 'نے', 'راجیہ', 'سبھا', 'کے', 'مسلم', 'ارکان', 'کے', 'تعاون', 'سے', 'اس', 'کو', 'مسلک', 'کمیٹی', 'کے', 'سپرد', 'کروایا', 'ہے', '۔']","['SCONJ', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PRON', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
بورڈ کے اجلاس مےں اس بل کے نقائص کا جائزہ لے کر اس مےں ترمیمات کروانے پر غور کیا جائے_گا ۔,"['بورڈ', 'کے', 'اجلاس', 'مےں', 'اس', 'بل', 'کے', 'نقائص', 'کا', 'جائزہ', 'لے', 'کر', 'اس', 'مےں', 'ترمیمات', 'کروانے', 'پر', 'غور', 'کیا', 'جائے_گا', '۔']","['NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'PRON', 'ADP', 'NOUN', 'VERB', 'ADP', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
